origin,destination,departure_time,data_source,source_doc,source_name
Kopargaon,Sangamner,17:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Sangamner,18:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shirdi,08:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shirdi,11:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shirdi,15:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shirpur,12:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,08:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,09:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,10:45,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,11:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,12:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,13:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,14:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,16:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Shrirampur,18:15,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Trimbakeshwar - Nashik,16:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,06:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,08:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,10:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,10:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,12:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,17:15,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Vaijapur,19:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Apegaon,06:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Apegaon,07:45,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Chas,06:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Chas,11:15,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dahegaon,08:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dhamori,15:45,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dhomori,07:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dhomori,15:45,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dhotra,10:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dhotra,15:15,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Ghoyegaon,07:45,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Ghoyegaon,17:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
